scan,run,px,py,x,y,Unemployment,GDP Growth,Inflation,Pension Growth,YoungUnemp,OldUnemp,PensionBalEnd,Bankruptcies
mpc x birth,104,mpc-income,birth-count-shift,0.65,-1.0,0.0831889117602699,-0.00278673156484486,0.009797968080816876,0.010425919323919801,0.1077799588653908,0.07667914663745594,3619.7700185106337,42
mpc x birth,105,mpc-income,birth-count-shift,0.65,-1.0,0.0780599329881597,-0.0029023745044856704,0.008696481377229594,0.0027538553037140825,0.09592280151680328,0.07328457289511006,3360.2664552301017,39
mpc x birth,106,mpc-income,birth-count-shift,0.65,-1.0,0.08322909196488235,-0.00285405184721604,0.00934622362815373,-0.0029343930756682195,0.10980205971202199,0.07639025269975105,3129.4703902283136,40
mpc x birth,107,mpc-income,birth-count-shift,0.65,-1.0,0.07303227127829223,-0.0008903792261142698,0.008673643445568837,0.0011806996991795763,0.09484536094065582,0.06717276054531145,3280.883770969632,35
mpc x birth,108,mpc-income,birth-count-shift,0.65,-1.0,0.07569291685283132,-0.0016242205950770853,0.009673257347297726,-0.0014591620119574066,0.09427565683967185,0.07050060665010915,3189.502647516047,39
mpc x birth,109,mpc-income,birth-count-shift,0.65,-1.0,0.0746289819334418,-0.0007405402245061476,0.007015709218424966,0.013761963493965584,0.08945341234625373,0.07055179104646261,3796.262691014632,36
mpc x birth,110,mpc-income,birth-count-shift,0.65,-1.0,0.08059957654359298,-0.0025765028504638318,0.008452825033825776,0.00456872167913373,0.10339442942036085,0.07461268014282192,3414.1550012673533,39
mpc x birth,111,mpc-income,birth-count-shift,0.65,-1.0,0.08249065471770328,-0.0025379676244898187,0.009383963533570362,-0.004428654613791185,0.10327389470380355,0.07703381786987257,3069.293621788338,40
mpc x birth,112,mpc-income,birth-count-shift,0.65,-1.0,0.08061310265059515,-0.002304034663538785,0.00890786348191251,-0.0036699455737639,0.09923586157680608,0.07555832063979237,3097.4169203692004,39
mpc x birth,113,mpc-income,birth-count-shift,0.65,-1.0,0.07173206741383106,-0.0010640702693722477,0.008031020199072878,0.005375371746542669,0.08957299829550927,0.0668521313852487,3456.8263219821247,36
mpc x birth,114,mpc-income,birth-count-shift,0.65,-1.0,0.07573833424900878,-0.0007759192628068896,0.006195520269337688,-0.0024544976917591148,0.10185323452618822,0.06890592756191682,3166.519398709207,34
mpc x birth,115,mpc-income,birth-count-shift,0.65,-1.0,0.0766367253805484,-0.002023337493703963,0.008196504619537213,-0.002353543426329012,0.10293384327125862,0.06958441962597388,3192.5267153216573,37
mpc x birth,116,mpc-income,birth-count-shift,0.65,-1.0,0.0657712922747032,-0.00042137716763722497,0.007678452257697735,0.0017087458083242348,0.0871647495350243,0.06020621772590464,3337.256023371947,34
mpc x birth,117,mpc-income,birth-count-shift,0.65,-1.0,0.07101621722231154,-0.0003048253191761281,0.008774565591196994,0.007315885768683345,0.08911773942622117,0.06610241753530252,3556.219232649292,33
mpc x birth,118,mpc-income,birth-count-shift,0.65,-1.0,0.07302300967650067,-0.0011266141027996266,0.006895741805398676,0.004900056144696049,0.09525969071149358,0.0670252229115065,3429.7531239901814,34
mpc x birth,119,mpc-income,birth-count-shift,0.65,-1.0,0.07923232977615921,-0.0018066549805380572,0.008795903902348712,0.007637674768212109,0.10470120575214967,0.07254941194477005,3565.443977755776,37
