x,y,t,fund,unemp,gdp
0.55,173,35,3359.7336568724863,0.01240004197816947,0.00027565020142641326
0.55,173,36,3294.310107287583,0.010443575402039903,0.00033941444436172815
0.55,173,37,3207.2119917591376,0.025300456178124712,-0.000952761081481739
0.55,173,38,3117.0955915646523,0.016516553498129173,0.0054238084803836335
0.55,173,39,3023.172107820756,0.013225174300532464,0.002729463082562155
0.55,173,40,2924.9381080035655,0.010036791876011714,-0.0005351736430772738
0.55,177,1,3342.9632115215613,0.029829784252542655,-0.02702703529924826
0.55,177,2,3389.7720960411248,0.014623965415161894,0.007959297413056376
0.55,177,3,3437.1948562681696,0.00935656817161951,0.0009278364470097703
0.55,177,4,3484.104572680486,0.006902088457610727,-0.0007699671774168959
0.55,177,5,3528.215039779689,0.02544340727477968,0.00042750860176276587
0.55,177,6,3572.752878132847,0.015663656751830006,0.008809480508132342
0.55,177,7,3615.869056271157,0.013131638374747356,0.0030089421542049037
0.55,177,8,3657.533215407814,0.012604780947300196,0.0006151080979598406
0.55,177,9,3708.632904168791,0.030421530248809562,0.0015707849538910276
0.55,177,10,3759.6511659713005,0.02484508728474849,0.0055328007018491665
0.55,177,11,3810.1170453132027,0.022156596564966335,0.0036542822854155914
0.55,177,12,3859.1158766560166,0.021469922643017777,0.002634166565747478
0.55,177,13,3903.8897501379374,0.03653672735245211,0.00012756402963100025
0.55,177,14,3948.8039872177173,0.02780884144717786,0.00456324998511003
0.55,177,15,3993.251307411962,0.021764609348578993,0.002091162742433031
0.55,177,16,4037.2405233740888,0.017763352141343457,0.0007134291455659074
0.55,177,17,4074.616313538518,0.032621163397981504,-0.00030451598074218966
0.55,177,18,4111.615753958107,0.022990297309094028,0.003956816297194946
0.55,177,19,4147.098506300954,0.019459525793421674,-0.0020209146347003387
0.55,177,20,4180.112524500034,0.01795361081102801,-0.0036233930446086695
0.55,177,21,4204.63187061984,0.03721196857624821,-0.0020312958181927954
0.55,177,22,4226.66586215019,0.03610975027024489,-0.00424005922986589
0.55,177,23,4246.242876198362,0.03179735150280703,-0.00042306734615076675
0.55,177,24,4263.150202550945,0.03098011845571663,-0.00611581455046714
0.55,177,25,4272.903480886953,0.048084914543666916,0.00352124313889983
0.55,177,26,4281.203475023077,0.042731487580488975,0.005480687264391688
0.55,177,27,4287.593120909724,0.03781335775608364,0.0035949054130398886
0.55,177,28,4291.817602537138,0.03309343407427344,0.0045364711502415885
0.55,177,29,4281.031846023386,0.04359171800011374,-0.001920646368021875
0.55,177,30,4269.634346843168,0.03555332529587566,0.004600844445692917
0.55,177,31,4257.778188372727,0.02821660129200449,0.00404156441223661
0.55,177,32,4244.499701985129,0.023665582377820037,0.0007199963180809112
0.55,177,33,4209.623676983241,0.03567161807673935,0.0015998707576911895
0.55,177,34,4172.247170004922,0.029083065587243065,0.004196366760798862
0.55,177,35,4131.039721236934,0.026960323115264362,-0.001138982397781908
0.55,177,36,4086.783584368821,0.022856883870791014,0.003038351141162238
0.55,177,37,4030.5511406559212,0.036080616854563256,0.0030565508975862994
0.55,177,38,3971.578318221693,0.03235803607300324,0.0024746807773538947
0.55,177,39,3909.3255455298226,0.030449313181519208,-0.0003807923707710756
0.55,177,40,3843.3605034926845,0.029102509761920296,-0.0004182701003643104
0.55,181,1,3361.3486006609032,0.03615145727185826,-0.017009193917909737
0.55,181,2,3425.4864457500435,0.024594001388732585,0.004776805851288506
0.55,181,3,3490.206420170683,0.018490624605889586,0.00044452324387791466
0.55,181,4,3554.9433757092797,0.014788270173987457,0.00022340542427027766
0.55,181,5,3618.35841951326,0.030753857798990033,0.002235404021540988
0.55,181,6,3681.7275781026756,0.02561789930628445,0.005419922622137215
0.55,181,7,3743.6249805246857,0.024492364446462075,0.001536771168129192
0.55,181,8,3803.366326921049,0.02297786925129979,0.001182437953291021
0.55,181,9,3872.5650429761736,0.03914165358080589,0.0023610850003580527
0.55,181,10,3941.048645270411,0.03577178533945173,0.0038138991479617335
0.55,181,11,4008.332445507097,0.034404358698648864,0.002482998198824085
0.55,181,12,4074.591005151126,0.03277083774123408,0.002882435375220809
0.55,181,13,4137.037441057888,0.04678835544356733,0.0017041806027540498
0.55,181,14,4199.624107319943,0.040353624080367904,0.0035522288291584894
0.55,181,15,4262.284433002477,0.034887764067929844,0.0024438820390678398
0.55,181,16,4324.273716798737,0.030807618900180394,0.0007788872437825145
0.55,181,17,4380.813598411097,0.0429318936138413,0.0026254783283317677
0.55,181,18,4437.285696296849,0.035606357305164794,0.002792040343342218
0.55,181,19,4492.752905185781,0.03142593729828847,0.00030602129419718627
0.55,181,20,4546.871421998252,0.028931176312656733,-0.0020085447575881005
0.55,181,21,4592.404559451413,0.050045430741266446,-0.006022396383200679
